seller_id,qty_order_by_seller
ac3508719a1d8f5b7614b798f70af136,103
b2479f944e1b90cf8a5de1bbfde284d6,103
00fc707aaaad2d31347cf883cd2dfe10,103
4371b634e0efc0e22b09b52907d9d469,102
d94a40fd42351c259927028d163af842,101
8444e55c1f13cd5c179851e5ca5ebd00,99
282f23a9769b2690c5dda22e316f9941,99
a49928bcdf77c55c6d6e05e09a9b4ca5,98
5c243662ce92d84573bfaff24c3e3700,98
ececbfcff9804a2d6b40f589df8eef2b,98
9d4db00d65d7760644ac0c14edb5fd86,98
aac29b1b99776be73c3049939652091d,98
7ea5bfa6c340f58f8e71fc1f0412b0d6,98
80e6699fe29150b372a0c8a1ebf7dcc8,98
530ec6109d11eaaf87999465c6afee01,97
729f06993dac8e860d4f02d7088ca48a,96
8648b1e89e9b349e32d3741b30ec737e,95
8a432f4e5b471f8da497d7dc517666e2,95
6973a06f484aacf400ece213dbf3d946,95
ff063b022a9a0aab91bad2c9088760b7,94
3db66a856d18a9cba7c9241fc5221c50,94
5d0363b33554b373851fc1622e4d5f3c,94
04308b1ee57b6625f47df1d56f00eedf,94
440dd6ab244315c632130ecfb63827b1,94
f27e33c6d29b5138fa9967bcd445b6d5,93
dee656f0f566ed1aa85bd137c943f08f,93
7b07b3c7487f0ea825fc6df75abd658b,93
891071be6ba827b591264c90c2ae8a63,92
d6b1ce66b035a475f00c017792ff9769,92
06e5eefc71ec47ae763c5c6f8db7064f,92
7e3f87d16fb353f408d467e74fbd8014,92
9616352088dcf83a7c06637f4ebf1c80,92
1d8dbc4f32378d715c717c1c1fc57bae,92
827f8f69dfa529c561901c4f2e0f332f,91
98dac6635aee4995d501a3972e047414,91
f84fa566034f5e8e880a07ec624c56af,91
d20b021d3efdf267a402c402a48ea64b,90
f84a00e60c73a49e7e851c9bdca3a5bb,90
527801b552d0077ffd170872eb49683b,90
725c32fa80c2faacc4fc88450d27314e,89
2ff97219cb8622eaf3cd89b7d9c09824,89
0509040ea3fe50071181bbc359eb7738,89
bd23da7354813347129d751591d1a6e2,89
900ba814c251a692506d7834c1218441,88
adbc26658d6c7b4b6219f9d934598091,88
0df3984f9dfb3d49ac6366acbd3bbb85,87
f3b80352b986ab4d1057a4b724be19d0,87
bd0389da23d89b726abf911cccc54596,87
e8b3a3a38279a82f0e5d006d5e5b7d2c,87
609e1a9a6c2539919b8205cf7c4e6ff0,87
9674754b5a0cb32b638cec001178f799,86
0432ead42b6c8a0bdf68154add917fdf,85
8e6d7754bc7e0f22c96d255ebda59eba,85
ba143b05f0110f0dc71ad71b4466ce92,85
b561927807645834b59ef0d16ba55a24,85
dbd66278cbfe1aa1000f90a217ca4695,85
c8b0e2b0a7095e5d8219575d5e7e1181,84
ebd2d60905fb58271facef5596b620d3,84
972d0f9cf61b499a4812cf0bfa3ad3c4,83
3be634553519fb6536a03e1358e9fdc7,83
f46490624488d3ff7ce78613913a7711,83
b14db04aa7881970e83ffa9426897925,83
aba1721a889e04decc910aa13b768ef4,83
688756f717c462a206ad854c5027a64a,83
eeb6de78f79159600292e314a77cbd18,83
4e7c18b98d84e05cbae3ff0ff03846c2,82
8bb48dc19fccaa8613b6229bf7f452a2,82
1bb2bdb95f4841f1bba2c0d2cd83d3c9,81
d673a59aac7a70d8b01e6902bf090a11,79
080199a181c46c657dc5aa235411be3b,79
6b243f80ed07b10f0e8aa0f21a205f3c,79
744dac408745240a2c2528fb1b6028f3,79
f3da5b2ff499efb8d4a6d371d175d7dd,79
712e6ed8aa4aa1fa65dab41fed5737e4,79
54965bbe3e4f07ae045b90b0b8541f52,78
34056b8b55c1775a22af2331670a799c,78
670c26e0f1bf8d0576271d5cfaec6d2b,78
ce7d1888639e6fb06b2749cbfdac1ff7,78
1f9ab4708f3056ede07124aad39a2554,78
d05ae8f7a5bd1d2a690a44cd079e4e27,78
d12c926d74ceff0a90a21184466ce161,78
70c27847eca8195c983ed7e798c56743,77
8f119a0aee85c0c8fc534629734e94fd,77
dfa0c4c6229ab200a4a1336b4d7128ff,77
d921b68bf747894be13a97ae52b0f386,77
11bfa66332777660bd0640ee84d47006,76
516e7738bd8f735ac19a010ee5450d8d,76
cac4c8e7b1ca6252d8f20b2fc1a2e4af,75
966cb4760537b1404caedd472cc610a5,75
a7f13822ceb966b076af67121f87b063,75
701938c450705b8ae65fc923b70f35c7,75
6860153b69cc696d5dcfe1cdaaafcf62,74
1336efc61c316ddf92c899eb817f7cae,74
08633c14ef2db992c11f840f04fad4cd,74
9e6229250fedbe05838fef417b74e7fb,74
81a1104df0f08b59c68aa5b03cfe398e,73
9de4643a8dbde634fe55621059d92273,72
5343d0649eca2a983820bfe93fc4d17e,71
9646c3513289980f17226a2fc4720dbd,71
30a2f535bb48308f991d0b9ad4a8c4bb,71
ca3bd7cd9f149df75950150d010fe4a2,71
e59aa562b9f8076dd550fcddf0e73491,70
f7ccf836d21b2fb1de37564105216cc1,70
23613d49c3ac2bd302259e55c06c050c,70
d50d79cb34e38265a8649c383dcffd48,70
fd386aa7bed2af3c7035c65506c9b4a3,69
bbad7e518d7af88a0897397ffdca1979,69
822166ed1e47908f7cfb49946d03c726,69
066a6914e1ebf3ea95a216c73a986b91,68
e333046ce6517bd8bb510291d44f0130,68
f0b47fbbc6dee9aafe415a6e33051b3f,68
48162d548f5b1b11b9d29d1e01f75a61,68
94144541854e298c2d976cb893b81343,68
cb8bcce248bb1fb274ba762d8b971456,68
5f2684dab12e59f83bef73ae57724e45,68
a420f60ff1aa9acc80d0e42959f2b313,67
6fd52c528dcb38be2eea044946b811f8,67
d13e50eaa47b4cbe9eb81465865d8cfc,67
9d5a9018aee56acb367ba9c3f05d1d6a,67
8cbac7e12637ed9cffa18c7875207478,67
99eaacc9e6046db1c82b163c5f84869f,66
834f3294fba9f932f56edc879193f925,66
4a3ccda38b2129705f3fb522db62ca31,66
643214e62b870443ccbe55ab29a4dccf,66
056b4ada5bbc2c50cc7842547dda6b51,65
8e8a7ce9f2f970dc00e2acf6f6e199f6,65
